celltype_id,sample_id
1-fetal-stromal-cell,FetalBrain_1
1-fetal-stromal-cell,FetalEmbryonicMesenchyme_1
1-fetal-stromal-cell,FetalFemaleGonad_1
1-fetal-stromal-cell,FetalHeart_1
1-fetal-stromal-cell,FetalHeart_2
1-fetal-stromal-cell,FetalIntestine_1
1-fetal-stromal-cell,FetalKidney_1
1-fetal-stromal-cell,FetalKidney_2
1-fetal-stromal-cell,FetalLung_1
1-fetal-stromal-cell,FetalMaleGonad_1
1-fetal-stromal-cell,FetalMaleGonad_2
1-fetal-stromal-cell,FetalStomach_1
1-fetal-stromal-cell,FetalStomach_2
1-fetal-stromal-cell,FetalPancreas_1
1-fetal-stromal-cell,FetalPancreas_2
1-fetal-stromal-cell,NeonatalSkin_1
1-fetal-stromal-cell,NeontalBrain_2
1-fetal-stromal-cell,Ovary_2
1-fetal-stromal-cell,Placenta_1
1-fetal-stromal-cell,Placenta_2
1-fetal-stromal-cell,Uterus_2
10-mammary-gland-in-lactation,AdultMammaryGlandInvolution_1
10-mammary-gland-in-lactation,AdultProstate_1
10-mammary-gland-in-lactation,AdultProstate_2
10-mammary-gland-in-lactation,FetalStomach_1
10-mammary-gland-in-lactation,FetalPancreas_2
10-mammary-gland-in-lactation,Lung_1
10-mammary-gland-in-lactation,MammaryGlandLactation_1
10-mammary-gland-in-lactation,MammaryGlandLactation_2
10-mammary-gland-in-lactation,MammaryGlandPregnancy_1
10-mammary-gland-in-lactation,Placenta_2
10-mammary-gland-in-lactation,AdultStomach_1
10-mammary-gland-in-lactation,AdultStomach_2
10-mammary-gland-in-lactation,Testis_1
100-epithelial-cell,Kidney_2
100-epithelial-cell,Liver_2
100-epithelial-cell,Ovary_1
100-epithelial-cell,Placenta_1
100-epithelial-cell,Placenta_2
100-epithelial-cell,Uterus_1
100-epithelial-cell,Uterus_2
101-astrocyte,AdultBrain_1
101-astrocyte,AdultBrain_2
101-astrocyte,NeonatalRib_2
101-astrocyte,NeontalBrain_1
101-astrocyte,NeontalBrain_2
102-chondrocyte,FetalEmbryonicMesenchyme_1
102-chondrocyte,FetalHeart_1
103-smooth-muscle-cell,MammaryGlandPregnancy_1
104-hepatocyte,Placenta_1
104-hepatocyte,Placenta_2
11-fasciculata-cell,FetalEmbryonicMesenchyme_1
11-fasciculata-cell,AdultAdrenalGland_1
11-fasciculata-cell,AdultAdrenalGland_2
11-fasciculata-cell,AdultAdrenalGland_3
12-erythroid-cell,AdultBoneMarrowcKit_2
12-erythroid-cell,FetalEmbryonicMesenchyme_1
12-erythroid-cell,FetalFemaleGonad_1
12-erythroid-cell,FetalHeart_2
12-erythroid-cell,FetalIntestine_1
12-erythroid-cell,FetalKidney_2
12-erythroid-cell,FetalLiver_1
12-erythroid-cell,FetalLung_1
12-erythroid-cell,FetalMaleGonad_1
12-erythroid-cell,FetalStomach_1
12-erythroid-cell,FetalStomach_2
12-erythroid-cell,FetalPancreas_1
12-erythroid-cell,FetalPancreas_2
12-erythroid-cell,MesenchymalStemCellsPrimary_1
12-erythroid-cell,NeonatalPancreas_1
13-macrophage,AdultBladder_1
13-macrophage,AdultBoneMarrow_4
13-macrophage,AdultBoneMarrow_5
13-macrophage,AdultBoneMarrowcKit_1
13-macrophage,AdultBoneMarrowcKit_3
13-macrophage,AdultBrain_2
13-macrophage,AdultMammaryGlandInvolution_2
13-macrophage,FetalBrain_1
13-macrophage,FetalEmbryonicMesenchyme_1
13-macrophage,FetalFemaleGonad_1
13-macrophage,FetalHeart_1
13-macrophage,FetalHeart_2
13-macrophage,FetalIntestine_1
13-macrophage,FetalKidney_1
13-macrophage,FetalKidney_2
13-macrophage,FetalLiver_1
13-macrophage,FetalLung_1
13-macrophage,FetalMaleGonad_1
13-macrophage,FetalMaleGonad_2
13-macrophage,Kidney_2
13-macrophage,FetalStomach_1
13-macrophage,FetalStomach_2
13-macrophage,FetalPancreas_1
13-macrophage,FetalPancreas_2
13-macrophage,Lung_1
