Sample	r_processed	r_with_adapters	bp_processed	bp_written	percent_trimmed
SRR6954498.assembled.bx	20499765	20497898	2813451615	1901049453	32.42999300700609
SRR6954498.unassembled_2.bx			7247123592	5872615169	18.966261656104514
SRR6954499.assembled.bx	2040032	2039940	250833035	162063956	35.38970813792529
SRR6954499.unassembled_2.bx			362233512	296691250	18.093925555954634
SRR6954500.assembled.bx	2571838	2571734	319221959	207623815	34.959419568000335
SRR6954500.unassembled_2.bx			464720008	379578728	18.320984363556818
SRR6954501.assembled.bx	5979478	5978983	760785379	534282095	29.772297188166654
SRR6954501.unassembled_2.bx			1525122872	1279257114	16.12104588514754
SRR6954502.assembled.bx	1999487	1999322	254085653	175841520	30.79439239333989
SRR6954502.unassembled_2.bx			542025576	457665710	15.563816494150085
SRR6954503.assembled.bx	13946763	13944939	2000464972	1405734559	29.7296089321378
SRR6954503.unassembled_2.bx			9485333436	7670846447	19.129395937874126
SRR6954504.assembled.bx	4278466	4278286	556592507	394840166	29.061178324486498
SRR6954504.unassembled_2.bx			1804159572	1501372864	16.782701081387494
SRR6954505.assembled.bx	5377993	5377703	718911922	519716308	27.707930262978724
SRR6954505.unassembled_2.bx			2323346508	1933195073	16.79264946733464
SRR6954506.assembled.bx	21036458	21035103	2714084484	1859328066	31.493360764520695
SRR6954506.unassembled_2.bx			3876658158	3167149621	18.302066060063478
SRR6954507.assembled.bx	31758107	31755890	4240767940	2711002170	36.07284792857588
SRR6954507.unassembled_2.bx			15070306272	12333300772	18.161578474919533
SRR6954508.assembled.bx	6751097	6750518	1017971162	718328038	29.435325398736587
SRR6954508.unassembled_2.bx			4281438366	3497588271	18.308101810474597
SRR6954509.assembled.bx	30821586	30818186	4221983584	2874232650	31.92222108838972
SRR6954509.unassembled_2.bx			9594894816	7923434994	17.420303755834315
SRR6954510.assembled.bx	26251411	26242883	2678824669	1204004338	55.05475397725629
SRR6954510.unassembled_2.bx			2214511188	1577122435	28.782367705066658
SRR6954511.assembled.bx	1842409	1842062	247030864	166852299	32.45690182259979
