Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR6954498.assembled	SRR6954498.assembled.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18846298.0	0.0	21-235	40.0	28.297985616133182	100.89338866444753	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRR6954498.unassembled_1	SRR6954498.unassembled_1.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29459362.0	0.0	0-96	33.0	78.19001780247797	48.941737231105	pass	fail	fail	fail	warn	pass	fail	pass	fail	warn	warn
SRR6954498.unassembled_2	SRR6954498.unassembled_2.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29459362.0	0.0	0-150	49.0	49.82411711273132	149.95847001031456	pass	pass	pass	warn	warn	pass	fail	fail	pass	pass	fail
SRR6954498_1	SRR6954498_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110570912.0	0.0	150.0	32.0	16.494263770134822	150.0	pass	fail	pass	fail	fail	pass	pass	fail	pass	fail	fail
SRR6954498_2	SRR6954498_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110570912.0	0.0	150.0	44.0	25.125414817829494	150.0	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass	fail
SRR6954499.assembled	SRR6954499.assembled.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1715407.0	0.0	21-232	43.0	25.954929925973758	94.4229276200925	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRR6954499.unassembled_1	SRR6954499.unassembled_1.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1460612.0	0.0	0-97	39.0	79.01576688489612	51.68367506223419	pass	fail	fail	fail	fail	pass	fail	pass	fail	warn	warn
SRR6954499.unassembled_2	SRR6954499.unassembled_2.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1460612.0	0.0	0-151	46.0	34.93820374050872	150.95687287246716	pass	pass	pass	pass	warn	pass	fail	fail	fail	pass	fail
SRR6954499_1	SRR6954499_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39426956.0	0.0	151.0	34.0	31.30463609478872	151.0	pass	fail	pass	fail	fail	pass	pass	fail	pass	fail	fail
SRR6954499_2	SRR6954499_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39426956.0	0.0	151.0	42.0	30.500024635208	151.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass	fail
SRR6954500.assembled	SRR6954500.assembled.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2191536.0	0.0	21-229	43.0	24.234647047086156	94.67765621919969	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRR6954500.unassembled_1	SRR6954500.unassembled_1.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1873860.0	0.0	0-97	39.0	77.55343141616314	51.12352043375706	pass	fail	fail	fail	fail	pass	fail	pass	fail	warn	fail
SRR6954500.unassembled_2	SRR6954500.unassembled_2.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1873860.0	0.0	0-151	46.0	33.10638342566411	150.95728923185297	pass	pass	pass	pass	warn	pass	fail	fail	fail	pass	fail
SRR6954500_1	SRR6954500_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41227245.0	0.0	151.0	34.0	31.297997147273176	151.0	pass	fail	pass	fail	fail	pass	pass	fail	pass	fail	fail
SRR6954500_2	SRR6954500_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41227245.0	0.0	151.0	42.0	29.26338073633678	151.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass	fail
SRR6954501.assembled	SRR6954501.assembled.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5273437.0	0.0	21-235	43.0	28.83086682361458	101.32697157470545	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRR6954501.unassembled_1	SRR6954501.unassembled_1.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6149680.0	0.0	0-97	37.0	78.40179265296007	56.56610717956056	pass	fail	fail	fail	pass	pass	fail	pass	fail	warn	warn
SRR6954501.unassembled_2	SRR6954501.unassembled_2.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6149680.0	0.0	0-151	50.0	37.879565492429194	150.96890147129608	pass	pass	pass	pass	fail	pass	fail	fail	warn	pass	fail
SRR6954501_1	SRR6954501_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52280543.0	0.0	151.0	35.0	27.733751761637393	151.0	pass	fail	pass	fail	fail	pass	pass	fail	pass	fail	fail
SRR6954501_2	SRR6954501_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52280543.0	0.0	151.0	45.0	35.77753179649629	151.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass	fail
SRR6954502.assembled	SRR6954502.assembled.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1757834.0	0.0	21-237	42.0	36.01374711255211	100.03132605240313	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRR6954502.unassembled_1	SRR6954502.unassembled_1.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2185584.0	0.0	0-97	38.0	82.0369039299029	57.94406986873989	pass	fail	fail	fail	pass	pass	fail	pass	fail	warn	fail
SRR6954502.unassembled_2	SRR6954502.unassembled_2.clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2185584.0	0.0	0-151	50.0	42.27784300432575	150.96910070717942	pass	pass	pass	pass	fail	pass	fail	fail	warn	pass	fail
