Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one
4129233.err	283251	34265	198675	50311	87.9					
4129234.err	479682	260408	193444	25830	48.45	252595	239841	480	218	12056
4129235.err	6282498	582182	4772219	928097	90.73					
4129237.err	527398	69242	363595	94561	86.87					
4129238.err	877728	476746	353672	47310	48.45	462422	438864	815	355	22388
4129239.err	27570596	5041933	18262245	4266418	81.71					
4129241.err	3857670	300568	3061436	495666	92.21					
4129243.err	19057791	1943607	13095612	4018572	89.8					
4129244.err	4896704	386744	3873858	636102	92.1					
4129247.err	27686320	2121134	18151797	7413389	92.34					
4129250.err	13051749	1181056	10362761	1507932	90.95					
4132545.err	5600006	739567	3764125	1096314	86.79					
4132829.err	3847525	345389	3008618	493518	91.02					
4135471.err	2925394	302405	2104460	518529	89.66					
4135496.err	1279511	253407	752668	273436	80.2					
4135515.err	12666611	1332900	9015485	2318226	89.48					
4135530.err	12950386	1523056	9090273	2337057	88.24					
4137237.err	1139133	155809	728216	255108	86.32					
4137315.err	480480	273137	177594	29749	45.88	252339	240240	639	252	11208
4137317.err	288473	62971	180662	44840	78.17					
4137325.err	1129315	95699	811063	222553	91.53					
4137357.err	3275729	273745	2224021	777963	91.64					
4137365.err	1757834	180728	1276600	300506	89.72					
4137371.err	2229330	212368	1515614	501348	90.47					
4137422.err	5079782	491945	3700290	887547	90.32					
4137493.err	16723595	1673526	11264795	3785274	89.99					
4137524.err	6385687	765224	4463674	1156789	88.02					
4137539.err	1661878	125499	1209855	326524	92.45					
4137546.err	8851575	1590976	5869920	1390679	82.03					
4137549.err	19344378	12248521	5598024	1497833	36.68					
4137565.err	1715407	173924	1350633	190850	89.86					
4137587.err	5212552	432602	3629356	1150594	91.7					
4137600.err	2191536	207995	1734630	248911	90.51					
4137606.err	5273437	590076	3774432	908929	88.81					
4137629.err	31467199	2821966	21828729	6816504	91.03					
4137642.err	10729468	1139333	8649120	941015	89.38					
4137646.err	18846298	1859789	13071364	3915145	90.13					
4137661.err	8909581	789302	7646941	473338	91.14					
4137672.err	25032516	2552686	18443177	4036653	89.8					
4137684.err	4927742	377396	3745553	804793	92.34					
4137705.err	6355186	479706	5103340	772140	92.45					
4137712.err	5150773	234879	4725774	190120	95.44					
4137719.err	14320820	1200691	10117046	3003083	91.62					
4137734.err	29479114	2252968	22243867	4982279	92.36					
4137746.err	19003659	1352619	15958826	1692214	92.88					
4137753.err	28848412	5711258	16347045	6790109	80.2					
4137762.err	11344432	1485957	8380914	1477561	86.9					
4137774.err	5944182	375287	3737243	1831652	93.69					
4137823.err	15517298	1470012	11910349	2136937	90.53					
4137828.err	15115770	1263871	9826584	4025315	91.64					
4144801.err	2420758	230640	1691427	498691	90.47					
SRR6954498.assembled	18846298	1859789	13071364	3915145	90.13					
SRR6954498.unassembled	56860314	31758776	21331609	3769929	46.1	29459362	28430157	85197	33169	910839
SRR6954499.assembled	1715407	173924	1350633	190850	89.86					
SRR6954499.unassembled	2732380	1432746	1164119	135515	50.95	1460612	1366190	2362	1052	91008
SRR6954500.assembled	2191536	207995	1734630	248911	90.51					
SRR6954500.unassembled	3576746	1831205	1567533	178008	51.14	1873860	1788373	3257	1464	80766
SRR6954501.assembled	5273437	590076	3774432	908929	88.81					
SRR6954501.unassembled	11331786	6065643	4550622	715521	50.68	6149680	5665893	12216	5551	466020
SRR6954502.assembled	1757834	180728	1276600	300506	89.72					
SRR6954502.unassembled	3968656	2088312	1628521	251823	52.23	2185584	1984328	4252	1913	195091
SRR6954503.assembled	13051749	1181056	10362761	1507932	90.95					
SRR6954503.unassembled	75048106	41210208	31065791	2772107	46.56	38558126	37524053	103263	38705	892105
SRR6954504.assembled	3857670	300568	3061436	495666	92.21					
SRR6954504.unassembled	13735268	7112970	5898577	723721	51.51	7333967	6867634	15676	6209	444448
SRR6954505.assembled	4896704	386744	3873858	636102	92.1					
SRR6954505.unassembled	17775494	9220362	7614196	940936	51.19	9444456	8887747	20419	7845	528445
SRR6954506.assembled	19057791	1943607	13095612	4018572	89.8					
SRR6954506.unassembled	29689666	14897097	12540396	2252173	52.73	15758571	14844833	46804	18863	848071
SRR6954507.assembled	27570596	5041933	18262245	4266418	81.71					
SRR6954507.unassembled	116267146	67887298	41575200	6804648	44.14	60767125	58133573	147934	67277	2418341
