Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
SRR6954498.assembled.read_distribution	16986509	19268281	17094428	36512446	3831320	3831320.0	33231493	397990	397990.0	57274166	11286631	11286631.0	1077358172	895840	895840.0	33710595	23494	23494.0	152682166	54419	54419.0	274415636	99208	99208.0	35511308	496659	496659.0	154728310	563471	563471.0	274153740	583439	583439.0	2173853	19.88407787908013	2.0655189739032767	58.57622171900025	4.649299021537002	0.1219309600062403	0.2824278927632413	0.514877274210398	2.577598904645412	2.9243449376724366	3.0279763929122687	11.282028739356665
SRR6954498.unassembled.read_distribution	27159948	39520959	37238245	36512446	21429578	21429578.0	33231493	1016141	1016141.0	57274166	13297671	13297671.0	1077358172	996820	996820.0	33710595	34285	34285.0	152682166	83931	83931.0	274415636	135195	135195.0	35511308	256121	256121.0	154728310	331580	331580.0	274153740	362840	362840.0	2282714	54.2233248945199	2.571144591911345	33.647136447270924	2.5222566081961726	0.08675143738288335	0.21237085871322103	0.3420843102516819	0.648063727400947	0.8389978593383829	0.9180951302320371	5.775958017617943
SRR6954499.assembled.read_distribution	1541483	1823745	1688441	36512446	475284	475284.0	33231493	24324	24324.0	57274166	1118046	1118046.0	1077358172	40612	40612.0	33710595	1953	1953.0	152682166	3994	3994.0	274415636	5768	5768.0	35511308	19135	19135.0	154728310	22125	22125.0	274153740	24407	24407.0	135304	26.060880221741527	1.3337390918138226	61.30495217258992	2.226846406707078	0.10708733951292533	0.218999915010048	0.31627228587329914	1.0492146654274583	1.213163024435982	1.3382901666625542	7.419019654611801
SRR6954499.unassembled.read_distribution	1488478	2480455	2407212	36512446	1847437	1847437.0	33231493	31311	31311.0	57274166	476259	476259.0	1077358172	36385	36385.0	33710595	1053	1053.0	152682166	3954	3954.0	274415636	5456	5456.0	35511308	5888	5888.0	154728310	7786	7786.0	274153740	10364	10364.0	73243	74.4797627854567	1.2623087296483912	19.200469268743035	1.4668679738193195	0.04245188886716349	0.15940623796843725	0.21995964450070654	0.2373758040359531	0.3138940234755317	0.41782656810947993	2.9528050297223696
SRR6954500.assembled.read_distribution	1983541	2338050	2181852	36512446	617549	617549.0	33231493	32804	32804.0	57274166	1446084	1446084.0	1077358172	48456	48456.0	33710595	2015	2015.0	152682166	4214	4214.0	274415636	6563	6563.0	35511308	25161	25161.0	154728310	28070	28070.0	274153740	30396	30396.0	156198	26.412993734094652	1.4030495498385407	61.85000320780137	2.072496311028421	0.08618293021962747	0.18023566647419859	0.2807040054746477	1.0761532045935716	1.2005731271786317	1.300057740424713	6.6806954513376535
SRR6954500.unassembled.read_distribution	1916515	3219620	3126019	36512446	2401231	2401231.0	33231493	42378	42378.0	57274166	617942	617942.0	1077358172	44497	44497.0	33710595	1351	1351.0	152682166	5067	5067.0	274415636	6999	6999.0	35511308	8048	8048.0	154728310	10247	10247.0	274153740	12972	12972.0	93601	74.58119281157404	1.3162422894627317	19.193010355259315	1.3820575098924717	0.041961473714289266	0.15737882110311155	0.21738590268416771	0.24996738745566247	0.3182673731682621	0.4029046906156627	2.9072064405116134
SRR6954501.assembled.read_distribution	4683361	5262841	4688269	36512446	1204918	1204918.0	33231493	106617	106617.0	57274166	2944132	2944132.0	1077358172	246863	246863.0	33710595	4917	4917.0	152682166	13520	13520.0	274415636	22913	22913.0	35511308	144035	144035.0	154728310	156624	156624.0	274153740	162826	162826.0	574572	22.89482049714213	2.0258449761260127	55.94187626036964	4.690679425808228	0.09342862533753157	0.25689546767610877	0.43537321382120414	2.736829784521326	2.976035187078614	3.0938802825318112	10.917525344200975
SRR6954501.unassembled.read_distribution	6233717	8748298	8261909	36512446	5182018	5182018.0	33231493	232957	232957.0	57274166	2527846	2527846.0	1077358172	214449	214449.0	33710595	5114	5114.0	152682166	15041	15041.0	274415636	23609	23609.0	35511308	64854	64854.0	154728310	74940	74940.0	274153740	81030	81030.0	486389	59.234584830100665	2.662883683203293	28.895289117951855	2.4513225315369915	0.058457085023852634	0.17193058581223458	0.26986963635669475	0.7413327712430463	0.8566237684175825	0.9262373092457526	5.559812891604745
SRR6954502.assembled.read_distribution	1577106	1757749	1572708	36512446	380667	380667.0	33231493	33790	33790.0	57274166	1019989	1019989.0	1077358172	76908	76908.0	33710595	1401	1401.0	152682166	4170	4170.0	274415636	7082	7082.0	35511308	48350	48350.0	154728310	52491	52491.0	274153740	54272	54272.0	185041	21.65650499587825	1.9223449992006825	58.02813712310461	4.375368724431077	0.07970421260373353	0.23723523665779359	0.4029016657099507	2.7506771444614673	2.9862625437420247	3.08758531508196	10.527157176593473
SRR6954502.unassembled.read_distribution	2282856	3125266	2947651	36512446	1796026	1796026.0	33231493	75425	75425.0	57274166	963429	963429.0	1077358172	74387	74387.0	33710595	1642	1642.0	152682166	5060	5060.0	274415636	8033	8033.0	35511308	24881	24881.0	154728310	28282	28282.0	274153740	30351	30351.0	177615	57.4679403289192	2.413394571854044	30.827103996907784	2.3801813989593206	0.052539527835390655	0.16190621854267764	0.25703412125559877	0.7961242339052099	0.9049469709138358	0.9711493357685393	5.683196246335512
SRR6954503.assembled.read_distribution	11870693	13192222	11920260	36512446	2553500	2553500.0	33231493	181507	181507.0	57274166	8051384	8051384.0	1077358172	708580	708580.0	33710595	16099	16099.0	152682166	44188	44188.0	274415636	76029	76029.0	35511308	285326	285326.0	154728310	317125	317125.0	274153740	349260	349260.0	1271962	19.356102406402805	1.3758637475930893	61.03129556188488	5.37119523913409	0.12203402883911443	0.334954945421628	0.5763168630728016	2.1628350402229435	2.4038785884591696	2.6474690920149766	9.641757089897366
SRR6954503.unassembled.read_distribution	35906044	54344960	51847907	36512446	34808977	34808977.0	33231493	1759384	1759384.0	57274166	13161476	13161476.0	1077358172	1498934	1498934.0	33710595	43124	43124.0	152682166	110338	110338.0	274415636	165434	165434.0	35511308	315147	315147.0	154728310	387884	387884.0	274153740	453702	453702.0	2497053	64.05189552076219	3.2374372894928984	24.218393021174364	2.758184015592246	0.07935234472525143	0.20303262712862424	0.3044146136090633	0.5799010616623879	0.713744200014132	0.8348557069505618	4.594819832418683
SRR6954504.assembled.read_distribution	3557102	3895849	3534780	36512446	743372	743372.0	33231493	46193	46193.0	57274166	2437681	2437681.0	1077358172	188894	188894.0	33710595	3177	3177.0	152682166	8179	8179.0	274415636	15133	15133.0	35511308	89736	89736.0	154728310	98232	98232.0	274153740	103507	103507.0	361069	19.081129684441056	1.1856979056426469	62.571239285711535	4.848596544681275	0.0815483351639142	0.2099414017329727	0.38843907964605406	2.3033746944504268	2.521452961857608	2.6568534868779565	9.268044012999477
SRR6954504.unassembled.read_distribution	7554964	11168972	10683569	36512446	6895788	6895788.0	33231493	372279	372279.0	57274166	2986157	2986157.0	1077358172	307872	307872.0	33710595	7097	7097.0	152682166	16831	16831.0	274415636	24786	24786.0	35511308	76684	76684.0	154728310	89223	89223.0	274153740	96687	96687.0	485403	61.74057916879011	3.3331536689321095	26.736184852106355	2.756493614631678	0.06354210575512231	0.1506942626411813	0.2219183645549474	0.6865806450226575	0.7988470201196674	0.8656750146745823	4.345995316310221
SRR6954505.assembled.read_distribution	4509960	4998330	4530630	36512446	1068549	1068549.0	33231493	64622	64622.0	57274166	3008244	3008244.0	1077358172	238791	238791.0	33710595	4067	4067.0	152682166	10953	10953.0	274415636	19553	19553.0	35511308	112579	112579.0	154728310	123899	123899.0	274153740	130871	130871.0	467700	21.378120292177588	1.2928718191876087	60.18498178391582	4.7774156568293815	0.08136717663699676	0.2191331904856222	0.391190657679665	2.25233227898118	2.4788079218458963	2.6182945103664625	9.357125279843467
