Sample	Unique Reads	Duplicate Reads
SRR6954498.assembled	5333123.0	13513175.0
SRR6954498.unassembled_1	23034281.0	6425081.0
SRR6954498.unassembled_2	14677868.0	14781494.0
SRR6954498_1	18237858.0	92333054.0
SRR6954498_2	27781401.0	82789511.0
SRR6954499.assembled	445233.0	1270174.0
SRR6954499.unassembled_1	1154114.0	306498.0
SRR6954499.unassembled_2	510312.0	950300.0
SRR6954499_1	12342466.0	27084490.0
SRR6954499_2	12025232.0	27401724.0
SRR6954500.assembled	531112.0	1660424.0
SRR6954500.unassembled_1	1453243.0	420617.0
SRR6954500.unassembled_2	620368.0	1253492.0
SRR6954500_1	12903302.0	28323943.0
SRR6954500_2	12064486.0	29162759.0
SRR6954501.assembled	1520378.0	3753059.0
SRR6954501.unassembled_1	4821460.0	1328220.0
SRR6954501.unassembled_2	2329473.0	3820207.0
SRR6954501_1	14499357.0	37781186.0
SRR6954501_2	18704688.0	33575855.0
SRR6954502.assembled	633062.0	1124772.0
SRR6954502.unassembled_1	1792986.0	392598.0
SRR6954502.unassembled_2	924018.0	1261566.0
SRR6954502_1	8517683.0	17477643.0
SRR6954502_2	10412060.0	15583266.0
SRR6954503.assembled	3434884.0	9616865.0
SRR6954503.unassembled_1	32397707.0	6160419.0
SRR6954503.unassembled_2	14519517.0	24038609.0
SRR6954503_1	21072811.0	126197796.0
SRR6954503_2	32156163.0	115114444.0
SRR6954504.assembled	1136742.0	2720928.0
SRR6954504.unassembled_1	6021344.0	1312623.0
SRR6954504.unassembled_2	2926789.0	4407178.0
SRR6954504_1	16127253.0	32983259.0
SRR6954504_2	17387125.0	31723387.0
SRR6954505.assembled	1422680.0	3474024.0
SRR6954505.unassembled_1	7845020.0	1599436.0
SRR6954505.unassembled_2	3675906.0	5768550.0
SRR6954505_1	17844972.0	40402087.0
SRR6954505_2	20112609.0	38134450.0
SRR6954506.assembled	4206243.0	14851548.0
SRR6954506.unassembled_1	11409598.0	4348973.0
SRR6954506.unassembled_2	5356035.0	10402536.0
SRR6954506_1	13991999.0	68444034.0
SRR6954506_2	18466639.0	63969394.0
SRR6954507.assembled	6635080.0	20935516.0
SRR6954507.unassembled_1	45456356.0	15310769.0
SRR6954507.unassembled_2	21447017.0	39320108.0
SRR6954507_1	27314857.0	138936774.0
SRR6954507_2	40615624.0	125636007.0
SRR6954508.assembled	2036263.0	4246235.0
SRR6954508.unassembled_1	14336555.0	3067541.0
SRR6954508.unassembled_2	5364951.0	12039145.0
SRR6954508_1	25049310.0	59398704.0
SRR6954508_2	18094469.0	66353545.0
SRR6954509.assembled	5894146.0	21792174.0
